index,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
2764,Lucas Brothers: On Drugs,MOVIE,2017,,49,5.5,830
2765,Coffee for All,MOVIE,2017,,69,5.6,385
2766,Loudon Wainwright III: Surviving Twin,MOVIE,2018,,91,7.1,94
2767,Ana e VitÃ³ria,MOVIE,2018,,115,6.4,604
2768,King of Boys,MOVIE,2018,,169,6.1,404
2769,The Many Faces of Ito,SHOW,2017,,30,6.7,244
2770,Silence Is Welcome,MOVIE,2017,,94,4.6,101
2771,Two Catalonias,MOVIE,2018,,116,6.4,677
2772,No One Will Ever Know,MOVIE,2018,,102,6.2,135
2773,Def Comedy Jam 25,MOVIE,2017,,81,6.6,1096
2774,Bon Cop Bad Cop 2,MOVIE,2017,,126,6.6,4126
2775,Jim Jefferies: This Is Me Now,MOVIE,2018,,70,7.3,3984
2776,Match,MOVIE,2017,,90,4.1,7
2777,Mubarakan,MOVIE,2017,PG-13,156,5.6,3906
2778,Paskal,MOVIE,2018,,100,6.8,2964
2779,Stars in the Sky: A Hunting Story,MOVIE,2018,,69,7.3,333
2780,Tattoo of Revenge,MOVIE,2018,R,150,4.9,112
2781,Pickpockets,MOVIE,2018,,100,5.4,1179
2782,El Potro: lo mejor del amor,MOVIE,2018,,122,5.2,723
2783,Neevevaro,MOVIE,2018,PG,130,6.9,809
2784,A House of Blocks,SHOW,2017,TV-MA,84,2.3,137
2785,First and Last,SHOW,2018,TV-MA,44,6.7,421
2786,Judah Friedlander: America Is the Greatest Country in the United States,MOVIE,2017,R,84,7.8,1436
2787,#ABtalks,SHOW,2018,TV-PG,68,9.6,7
2788,Aurora,MOVIE,2018,,110,4.3,603
2789,Gunshot,MOVIE,2018,,96,6.8,593
2790,Smaller and Smaller Circles,MOVIE,2017,,111,6.6,234
2791,Todd Barry: Spicy Honey,MOVIE,2017,,60,6.8,840
2792,Joshua: Teenager vs. Superpower,MOVIE,2017,,78,7.2,1531
2793,The Bros,MOVIE,2017,,102,6.1,616
2794,5 Star Christmas,MOVIE,2018,,92,4.5,767
2795,The Reservoir Game,MOVIE,2017,,100,6,35
2796,Todo lo que serÃ­a Lucas Lauriente,MOVIE,2018,,78,6.9,108
2797,Running Man,SHOW,2017,,11,8.4,32
2798,Julie's Greenroom,SHOW,2017,,26,8.2,328
2799,DTC â€“Yukemuri Junjo Henâ€“ from HiGH&LOW,MOVIE,2018,,102,6.8,55
2800,Hari Kondabolu: Warn Your Relatives,MOVIE,2018,,67,6.5,837
2801,Alexis de Anda: Mea Culpa,MOVIE,2017,,54,4.9,101
2802,Freej Al Taibeen,MOVIE,2018,PG-13,100,5.8,9
2803,All Hail King Julien: Exiled,SHOW,2017,TV-Y7,23,7.5,559
2804,Gurgaon,MOVIE,2017,,107,6.5,2191
2805,Ani... Dr. Kashinath Ghanekar,MOVIE,2018,,159,8.5,1071
2806,Jim Norton: Mouthful of Shame,MOVIE,2017,,61,7,1324
2807,Jonaki,MOVIE,2018,,96,6.8,251
2808,Rafinha Bastos: Ultimatum,MOVIE,2018,,62,6.5,214
2809,A StoryBots Christmas,MOVIE,2017,,25,5.7,156
2810,Justice: Qalb Al Adala,SHOW,2017,TV-14,37,5.6,155
2811,Lionheart,MOVIE,2018,,95,5.7,1444
2812,"To Each, Her Own",MOVIE,2018,,95,5.4,1726
2813,REA(L)OVE,SHOW,2018,TV-MA,45,6.6,210
2814,Droppin' Cash: Los Angeles,SHOW,2018,TV-MA,23,3.4,116
2815,Argon,SHOW,2017,,63,7.3,261
2816,Night of Knots,MOVIE,2018,G,100,5.4,1282
2817,Love You to the Stars and Back,MOVIE,2017,,111,7.6,531
2818,Marlon Wayans: Woke-ish,MOVIE,2018,,68,6.5,1390
2819,Buddy Thunderstruck,SHOW,2017,TV-Y7,22,7.8,489
2820,Ghost Hunting,MOVIE,2017,,94,7.1,219
2821,Music Teacher,MOVIE,2018,,101,6.2,684
2822,Poster Boys,MOVIE,2017,PG-13,128,5.5,1541
2823,Blazing Transfer Students,SHOW,2017,TV-MA,26,7,116
2824,Club de Cuervos Presents: The Ballad of Hugo SÃ¡nchez,SHOW,2018,TV-MA,32,6.4,816
2825,Munafik 2,MOVIE,2018,,104,6.3,1654
2826,The Hows of Us,MOVIE,2018,,117,6.7,2695
2827,Regiment Diaries,SHOW,2018,TV-PG,42,8.6,80
2828,Marco Luque - We are together,MOVIE,2017,,73,4.4,76
2829,Felipe Neto: My Life Makes No Sense,MOVIE,2017,,90,4.4,245
2830,Aditi Mittal: Things They Wouldn't Let Me Say,MOVIE,2017,,62,4.3,330
2831,Blessed Benefit,MOVIE,2017,,83,6.6,665
2832,Robozuna,SHOW,2018,,22,6.6,92
2833,Malena Pichot: Estupidez compleja,MOVIE,2018,,50,5.7,360
2834,Chief Daddy,MOVIE,2018,,98,4.7,269
2835,Adhugo,MOVIE,2018,,110,5.9,65
2836,Solo el amor,MOVIE,2018,,93,4.7,68
2837,Hedefim Sensin,MOVIE,2018,,105,6.2,4384
2838,Deliha 2,MOVIE,2018,G,106,4.7,2554
2839,Spivak,MOVIE,2018,,91,5.6,732
2840,For Here or to Go?,MOVIE,2017,,105,6.8,605
2841,DreamWorks Home: For the Holidays,MOVIE,2017,PG-13,45,4.9,149
2842,Check The Store Next Door,SHOW,2018,TV-14,30,7.8,129
2843,Late Life: The Chien-Ming Wang Story,MOVIE,2018,,97,7.2,465
2844,Listen,MOVIE,2017,,109,6.6,227
2845,Aiyaary,MOVIE,2018,,157,5.2,4671
2846,Battlefish,SHOW,2018,,45,7,426
2847,Pulang,MOVIE,2018,,120,6.7,594
2848,A Little Help with Carol Burnett,SHOW,2018,TV-G,34,6.3,233
2849,Alter Ego,MOVIE,2017,,111,5.7,55
2850,Ayotzinapa: The Turtle's Pace,MOVIE,2018,,80,7.4,204
2851,The Price of Success,MOVIE,2017,,92,5.8,362
2852,"I, Potro",MOVIE,2018,,50,6.2,493
2853,Turkish Dance School,MOVIE,2017,PG-13,111,5.7,2113
2854,Vanjagar Ulagam,MOVIE,2018,PG-13,161,6,258
2855,Verses of Love 2,MOVIE,2017,,125,5.9,603
2856,Luciano Mellera: Infantiloide,MOVIE,2018,PG-13,66,7.5,1516
2857,My Travel Buddy 2,MOVIE,2018,PG-13,116,5.8,3217
2858,Alan SaldaÃ±a: mi vida de pobre,MOVIE,2017,,53,6.3,68
2859,Vir Das: Abroad Understanding,MOVIE,2017,,65,6.9,1697
2860,Hantu Kak Limah,MOVIE,2018,,111,5.6,677
2861,Back to Q82,MOVIE,2017,,105,6,94
2862,Garbage,MOVIE,2018,,105,3.4,1004
2863,Teefa in Trouble,MOVIE,2018,PG-13,155,7.3,3569
2864,Potato Potahto,MOVIE,2017,,104,4.1,208
2865,Joe Mande's Award-Winning Comedy Special,MOVIE,2017,,66,6.1,498
2866,The Hollywood Masters,SHOW,2017,TV-MA,34,7.2,86
2867,The Royal Hibiscus Hotel,MOVIE,2018,,90,5.5,276
2868,Kulipari: Dream Walker,SHOW,2018,TV-Y7,19,7.7,91
2869,Puriyaatha Puthir,MOVIE,2017,,140,6.6,1032
2870,ID-0,SHOW,2017,TV-14,24,6.2,320
2871,Ryan Hamilton: Happy Face,MOVIE,2017,,56,7.3,921
2872,Daniel Sosa: Sosafado,MOVIE,2017,,77,5.4,98
2873,Fantastica,MOVIE,2018,G,114,3.6,212
2874,Food on the Go,MOVIE,2017,,66,6.3,211
2875,AgustÃ­n AristarÃ¡n: Soy Rada,MOVIE,2018,,60,6.1,121
2876,Grillo vs Grillo,MOVIE,2017,,95,5.2,129
2877,Jim Gaffigan: Cinco,MOVIE,2017,,73,7.1,2381
2878,Free Rein: The Twelve Neighs of Christmas,MOVIE,2018,,58,6.7,5633
2879,My Ex & Whys,MOVIE,2017,,120,6.2,572
2880,Pa Paandi,MOVIE,2017,,125,7.4,1725
2881,Penalty Kick,MOVIE,2018,PG-13,89,3.7,280
2882,Noblemen,MOVIE,2018,,108,5.6,274
2883,Brad Paisley's Comedy Rodeo,MOVIE,2017,,63,5.7,151
2884,"Love, Surreal and Odd",MOVIE,2017,G,95,5.6,3216
2885,PacÃ­ficum,MOVIE,2017,,74,6.5,126
2886,Mama's Boy,MOVIE,2018,,104,6.1,987
2887,Seven Sundays,MOVIE,2017,,128,7.7,456
2888,Puppy Star Christmas,MOVIE,2018,PG,90,3.6,248
2889,Mo Amer: The Vagabond,MOVIE,2018,,56,7.3,799
2890,Marriage Palace,MOVIE,2018,,102,6.2,180
2891,Harvey Street Kids,SHOW,2018,TV-Y7,24,6.8,249
2892,Pahuna: The Little Visitors,MOVIE,2017,,138,7.5,397
2893,Mahi NRI,MOVIE,2017,,132,5.9,83
2894,Rodney King,MOVIE,2017,,52,5.8,601
2895,Exes Baggage,MOVIE,2018,,104,6.4,267
2896,Mauli,MOVIE,2018,,134,5.6,362
2897,Tracy Morgan: Staying Alive,MOVIE,2017,,60,6.1,1202
2898,Voulez-vous rire avec moi ce soir?,MOVIE,2018,,93,6.8,43
2899,La Leyenda del Diamante,MOVIE,2018,,87,3.4,48
2900,Pup Star: World Tour,MOVIE,2018,G,87,3.8,207
2901,Shubh Aarambh,MOVIE,2017,,126,6.8,121
2902,Chris D'Elia: Man on Fire,MOVIE,2017,,65,6.5,1720
2903,A Man for The Weekend,MOVIE,2017,,94,4,11
2904,DeRay Davis: How to Act Black,MOVIE,2017,PG,66,6.1,427
2905,"El Especial de Alex FernÃ¡ndez, el Especial",MOVIE,2017,,52,6.6,73
2906,Life Plan A and B,SHOW,2017,TV-PG,80,7.8,106
2907,Thug Life,MOVIE,2017,,134,5.7,48
2908,Posesif,MOVIE,2017,,102,7.4,920
2909,Merku Thodarchi Malai,MOVIE,2018,,122,8.6,1810
2910,Natalia Valdebenito: El especial,MOVIE,2018,,76,5.1,82
2911,Jani DueÃ±as: Grandes fracasos de ayer y hoy,MOVIE,2018,,77,4.8,71
2912,Arango y Sanint: RÃ­ase el show,MOVIE,2018,,62,4,42
2913,Doob,MOVIE,2017,,102,6.2,1863
2914,Adel Karam: Live from Beirut,MOVIE,2018,R,59,5.5,144
2915,Love and Shukla,MOVIE,2017,,117,7.3,933
2916,Alejandro RiaÃ±o: Especial de stand up,MOVIE,2018,,60,4.9,69
2917,Birdshot,MOVIE,2017,,116,6.6,781
2918,Kavin Jay : Everybody Calm Down!,MOVIE,2018,,53,5.9,232
2919,Mau Nieto: viviendo sobrioâ€¦ desde el bar,MOVIE,2018,,57,6.7,80
2920,Coco y Raulito: Carrusel de ternura,MOVIE,2018,PG-13,56,6.6,39
2921,First Love,MOVIE,2018,,122,6,149
2922,Fernando Sanjiao: Hombre,MOVIE,2018,,63,6.3,57
2923,Highland: Thailand's Marijuana Awakening,SHOW,2017,TV-MA,20,6.2,24
2924,Ricardo Quevedo: Hay gente asÃ­,MOVIE,2018,,58,6.3,104
2925,Si saben cÃ³mo me pongo Â¿Pa' quÃ© me invitan?,MOVIE,2018,,89,4.6,216
2926,The Lost CafÃ©,MOVIE,2018,,76,6.4,24
2927,ZoÃ©: Panoramas,MOVIE,2017,PG,89,6.8,77
2928,Fabrizio Copano: solo pienso en mÃ­,MOVIE,2017,,59,5,33
2929,Good Game: The Beginning,MOVIE,2018,PG-13,104,4.4,1796
2930,Santo cachÃ³n,MOVIE,2018,,87,4.8,53
2931,Pinky Memsaab,MOVIE,2018,,124,6.3,521
2932,Heaven Without People,MOVIE,2017,,91,7.6,1249
2933,"Edmilson Filho: Notas, Comedy about Relationships",MOVIE,2018,,79,5.2,20
2934,Hadithi za Kumekucha: Fatuma,MOVIE,2018,,85,7.6,8
2935,Echcharikkai,MOVIE,2018,,134,6.3,307
2936,Nathicharami,MOVIE,2018,,116,7.2,316
2937,Ayana,MOVIE,2017,,112,7.4,128
2938,Table Manners,MOVIE,2018,,105,5.1,43
2939,Salam - The First ****** Nobel Laureate,MOVIE,2018,,75,7.8,414
2940,Todd Glass: Act Happy,MOVIE,2018,,62,5.1,366
2941,Lilli,MOVIE,2018,PG,91,5.7,278
2942,Eve's Apple,MOVIE,2017,,90,5.9,86
2943,Enissa Amani: Ehrenwort,MOVIE,2018,PG,65,5.5,194
2944,Kingdom of Us,MOVIE,2017,,109,7,887
2945,Aruna & Her Palate,MOVIE,2018,,106,7.2,765
2946,Into the Wind,MOVIE,2018,,76,4.2,42
2947,Baby Mamas,MOVIE,2018,,93,6.6,63
2948,The Break with Michelle Wolf,SHOW,2018,TV-MA,30,5.1,1862
2949,Lynne Koplitz: Hormonal Beast,MOVIE,2017,,51,6.2,417
2950,Jindua,MOVIE,2017,,140,6.5,275
2951,Yoo Byung Jae: Too Much Information,MOVIE,2018,,63,5.3,53
2952,Ask the Doctor,SHOW,2017,,28,6.5,289
2953,Sei,MOVIE,2018,,128,4.2,64
2954,Christmas Catch,MOVIE,2018,,80,5.3,1428
2955,Project Papa,MOVIE,2018,G,97,6.3,35
2956,Kibaoh Klashers,SHOW,2017,TV-Y7,24,6.3,17
2957,#FriendButMarried,MOVIE,2018,,102,6.9,695
2958,Mr. Chandramouli,MOVIE,2018,,122,5.1,234
2959,SebastiÃ¡n Marcelo Wainraich,MOVIE,2018,,49,6.4,105
2960,Dhh,MOVIE,2018,R,128,7.9,320
2961,Three Words to Forever,MOVIE,2018,,106,6.8,109
2962,In Line,MOVIE,2017,,115,6.1,34
2963,Unexpectedly Yours,MOVIE,2017,,120,6.8,178
2964,Next Enti?,MOVIE,2018,,157,4.6,159
2965,The Sound of Your Heart: Reboot,SHOW,2018,,34,5.9,134
2966,Luo Bao Bei,SHOW,2018,TV-Y,11,8,38
2967,Harith Iskander: I Told You So,MOVIE,2018,,61,4.6,172
2968,Memories of Love,SHOW,2018,TV-PG,44,5.9,16
2969,Wedy Atkalam,MOVIE,2018,,72,5.8,17
2970,Kanavu Variyam,MOVIE,2017,G,118,6.4,144
2971,We Speak Dance,SHOW,2018,TV-MA,22,7.5,148
2972,Simplemente Manu NNa,MOVIE,2017,,71,5.5,50
2973,For the Broken Hearted,MOVIE,2018,,92,6.7,94
2974,King of Peking,MOVIE,2017,,88,6.4,364
2975,BabamÄ±n Ceketi,MOVIE,2018,,100,4.9,854
2976,Until Midnight,MOVIE,2018,R,78,6.9,717
2977,Fakkah Fuzz: Almost Banned,MOVIE,2018,,60,4.3,56
2978,Vir Das: Losing It,MOVIE,2018,PG-13,67,7,1238
2979,What Did I Mess,MOVIE,2018,PG-13,100,7.1,695
2980,YG Future Strategy Office,SHOW,2018,TV-MA,27,6.9,204
2981,Dilan 1990,MOVIE,2018,,109,7,3294
2982,Ascharya Fuck It,MOVIE,2018,,90,5.4,904
2983,Fary Is the New Black,MOVIE,2018,,74,5.8,132
2984,Brij Mohan Amar Rahe!,MOVIE,2018,,100,7,3759
2985,W. Kamau Bell: Private School Negro,MOVIE,2018,,65,6.4,770
2986,Pandigai,MOVIE,2017,R,150,6.3,285
2987,The Bridge,MOVIE,2017,,115,5.6,36
2988,Hajwala 2: Mysterious Mission,MOVIE,2018,PG-13,115,4,91
2989,Satria Heroes: Revenge of the Darkness,MOVIE,2017,,92,4.4,69
2990,Fan of Amoory,MOVIE,2018,G,91,5.9,35
2991,Bogda,MOVIE,2018,,160,7.2,52
2992,Rise: Ini Kalilah,MOVIE,2018,,102,5.1,40
2993,What She Put on the Table,SHOW,2017,TV-14,85,7.3,30
2994,Meghnadbodh Rohoshyo,MOVIE,2017,,122,6.3,491
2995,The Suit,MOVIE,2018,,96,5.4,1608
2996,Afronta!,SHOW,2017,TV-PG,0,7.4,8
2997,Learning Songs by Little Baby Bum: Nursery Rhyme Friends,SHOW,2017,TV-Y,30,4.2,9
2998,Finally Found Someone,MOVIE,2017,,118,5.7,229
2999,Super Monsters Save Halloween,MOVIE,2018,,24,5.4,27
3000,Elf Pets: Santa's St. Bernards Save Christmas,MOVIE,2018,G,26,5.3,95
3001,Catch.er,MOVIE,2017,,81,4.5,30
3002,Panoptic,MOVIE,2017,,79,6.2,59
3003,Komola Rocket,MOVIE,2018,,95,7.4,1017
3004,Lara and the Beat,MOVIE,2018,,137,6.7,146
3005,Luna Petunia Return to Amazia,SHOW,2018,TV-Y,24,4.8,48
3006,Si Doel the Movie,MOVIE,2018,,85,6.9,415
3007,Bahasha,MOVIE,2018,,85,7,23
3008,Russian Doll,SHOW,2019,TV-MA,28,7.8,88945
3009,The Gentlemen,MOVIE,2019,R,113,7.8,314049
3010,Bridgerton,SHOW,2020,TV-MA,62,7.3,122036
3011,Demon Slayer: Kimetsu no Yaiba,SHOW,2019,TV-MA,25,8.7,88265
3012,Sex Education,SHOW,2019,TV-MA,52,8.3,251168
3013,After Life,SHOW,2019,TV-MA,28,8.5,124972
3014,"Love, Death & Robots",SHOW,2019,TV-MA,13,8.4,131937
3015,The Umbrella Academy,SHOW,2019,TV-14,52,8,202522
3016,The Witcher,SHOW,2019,TV-MA,58,8.2,465949
3017,The Rental,MOVIE,2020,R,88,5.7,29201
3018,Uncut Gems,MOVIE,2019,R,130,7.4,261956
3019,Space Force,SHOW,2020,TV-MA,30,6.7,61739
3020,Formula 1: Drive to Survive,SHOW,2019,TV-MA,38,8.6,36661
3021,365 Days,MOVIE,2020,,114,3.3,80198
3022,The Queen's Gambit,SHOW,2020,TV-MA,56,8.6,406350
3023,Selling Sunset,SHOW,2019,TV-MA,35,6.5,5482
3024,Dead to Me,SHOW,2019,TV-MA,31,8,73110
3025,I Think You Should Leave with Tim Robinson,SHOW,2019,TV-MA,16,7.9,11411
3026,The Last Dance,SHOW,2020,TV-MA,50,9.1,108321
3027,The Stranger,SHOW,2020,TV-MA,45,7.3,46564
3028,Emily in Paris,SHOW,2020,TV-MA,29,6.9,84302
3029,Unbelievable,SHOW,2019,TV-MA,48,8.4,95658
3030,ULTRAMAN,SHOW,2019,TV-14,24,6.8,2025
3031,Jurassic World: Camp Cretaceous,SHOW,2020,TV-PG,24,7.5,7423
3032,Virgin River,SHOW,2019,TV-14,44,7.4,34797
3033,Outer Banks,SHOW,2020,TV-MA,49,7.5,43404
3034,Locke & Key,SHOW,2020,TV-14,48,7.4,72031
3035,Rambo: Last Blood,MOVIE,2019,R,101,6.1,95013
3036,The Circle,SHOW,2020,TV-MA,52,7.3,6380
3037,Freaks,MOVIE,2019,R,105,6.7,34111
3038,The King,MOVIE,2019,R,140,7.3,119020
3039,Are You Afraid of the Dark?,SHOW,2019,TV-PG,44,7.1,2151
3040,I'm Thinking of Ending Things,MOVIE,2020,R,134,6.6,79921
3041,In the Dark,SHOW,2019,TV-14,41,7.7,10927
3042,Young Wallander,SHOW,2020,TV-MA,45,6.8,11039
3043,The Devil All the Time,MOVIE,2020,R,138,7.1,122321
3044,Tuca & Bertie,SHOW,2019,TV-MA,24,7.3,6724
3045,My Octopus Teacher,MOVIE,2020,,84,8.1,51232
3046,The Irishman,MOVIE,2019,R,209,7.8,371209
3047,Synchronic,MOVIE,2019,R,102,6.2,28617
3048,Hillbilly Elegy,MOVIE,2020,R,116,6.7,40703
3049,Feel Good,SHOW,2020,TV-MA,25,7.5,10317
3050,21 Bridges,MOVIE,2019,R,99,6.6,64117
3051,Love Is Blind,SHOW,2020,TV-MA,54,6.1,7655
3052,Marriage Story,MOVIE,2019,R,136,7.9,290643
3053,The Trial of the Chicago 7,MOVIE,2020,R,130,7.7,170728
3054,Into the Night,SHOW,2020,TV-MA,36,7.1,30746
3055,Criminal: UK,SHOW,2019,TV-MA,44,7.6,17992
3056,Never Have I Ever,SHOW,2020,TV-14,28,7.8,45346
3057,The Daily Life of the Immortal King,SHOW,2020,TV-14,19,7.2,1211
3058,El Camino: A Breaking Bad Movie,MOVIE,2019,R,123,7.3,216847
3059,Eurovision Song Contest: The Story of Fire Saga,MOVIE,2020,PG-13,123,6.5,91043
3060,The Cursed,SHOW,2020,TV-MA,62,7.1,395
3061,Get Organized with The Home Edit,SHOW,2020,TV-PG,42,5.3,1454
3062,The Call,MOVIE,2020,,112,7.1,29450
3063,Sweet Magnolias,SHOW,2020,TV-14,50,7.3,17435
3064,In the Shadow of the Moon,MOVIE,2019,R,115,6.2,49894
3065,Alice in Borderland,SHOW,2020,TV-MA,47,7.6,47651
3066,Raising Dion,SHOW,2019,TV-G,43,7.1,14464
3067,Summerland,MOVIE,2020,PG,100,7,6052
3068,Kingdom,SHOW,2019,TV-MA,48,8.3,43760
3069,The Social Dilemma,MOVIE,2020,PG-13,94,7.6,79674
3070,Black Summer,SHOW,2019,TV-MA,39,6.5,28657
3071,Fantastic Fungi,MOVIE,2019,,81,7.4,7890
3072,The Promised Neverland,SHOW,2019,TV-MA,23,8.4,34730
3073,Dracula,SHOW,2020,TV-MA,88,6.8,45971
3074,Mank,MOVIE,2020,R,131,6.8,71244
3075,6 Underground,MOVIE,2019,R,127,6.1,168919
3076,I Care a Lot,MOVIE,2020,R,118,6.3,128172
3077,His House,MOVIE,2020,,93,6.5,38870
3078,The Dark Crystal: Age of Resistance,SHOW,2019,TV-PG,51,8.4,24164
3079,When They See Us,SHOW,2019,TV-MA,74,8.9,114127
3080,Cocomelon,SHOW,2019,TV-PG,8,4.9,522
3081,Another Life,SHOW,2019,TV-MA,42,5.2,35108
3082,Living with Yourself,SHOW,2019,TV-MA,26,7.2,30134
3083,The Platform,MOVIE,2019,,94,7,207877
3084,The Movies That Made Us,SHOW,2019,TV-PG,47,7.6,6147
3085,Giri/Haji,SHOW,2019,TV-MA,58,7.8,13570
3086,Don't F**k with Cats: Hunting an Internet Killer,SHOW,2019,TV-MA,62,8,50250
3087,The Forgotten Battle,MOVIE,2020,,124,7.1,26368
3088,Always Be My Maybe,MOVIE,2019,PG-13,101,6.8,54166
3089,Enola Holmes,MOVIE,2020,PG-13,123,6.6,160806
3090,Scary Stories to Tell in the Dark,MOVIE,2019,PG-13,108,6.2,73859
3091,The Valhalla Murders,SHOW,2019,TV-MA,46,7.1,13038
3092,Triple Frontier,MOVIE,2019,R,125,6.4,124218
3093,Fast Color,MOVIE,2019,PG-13,102,6,6194
3094,The Midnight Sky,MOVIE,2020,PG-13,118,5.6,81513
3095,Official Secrets,MOVIE,2019,R,112,7.3,45200
3096,Barbarians,SHOW,2020,TV-MA,47,7.2,23180
3097,I Am Mother,MOVIE,2019,PG-13,113,6.7,87891
3098,Marianne,SHOW,2019,TV-MA,49,7.4,14518
3099,The Haunting of Bly Manor,SHOW,2020,TV-MA,55,7.3,96015
3100,"Roswell, New Mexico",SHOW,2019,TV-14,42,6.2,11928
3101,The Old Guard,MOVIE,2020,R,125,6.6,155135
3102,Hollywood,SHOW,2020,TV-MA,50,7.5,35067
3103,The Outpost,MOVIE,2020,R,123,6.8,31819
3104,Cursed,SHOW,2020,TV-MA,55,5.8,29446
3105,Extraction,MOVIE,2020,R,116,6.7,192132
3106,To the Lake,SHOW,2019,TV-MA,43,7.2,12456
3107,PokÃ©mon Journeys: The Series,SHOW,2020,TV-Y7,22,6.9,472
3108,The Defeated,SHOW,2020,TV-MA,54,7,5597
3109,Occupation: Rainfall,MOVIE,2020,R,128,5.6,14122
3110,Conversations with a Killer: The Ted Bundy Tapes,SHOW,2019,TV-MA,59,7.8,27439
3111,"Extremely Wicked, Shockingly Evil and Vile",MOVIE,2019,R,111,6.7,91162
3112,I Am Not Okay with This,SHOW,2020,TV-MA,21,7.5,56459
3113,Tiger King,SHOW,2020,TV-MA,44,7.5,76961
3114,#Alive,MOVIE,2020,,98,6.3,37199
3115,Unorthodox,SHOW,2020,TV-MA,54,8,74118
3116,The Old Ways,MOVIE,2020,R,90,5.4,5708
3117,The Half of It,MOVIE,2020,PG-13,104,6.9,34959
3118,After,MOVIE,2019,PG-13,106,5.2,52180
3119,Dolemite Is My Name,MOVIE,2019,R,118,7.2,59836
3120,Warrior Nun,SHOW,2020,TV-MA,43,6.8,29164
3121,Ragnarok,SHOW,2020,TV-MA,47,7.5,36185
3122,The Order,SHOW,2019,TV-MA,48,6.7,27286
3123,The Professor and the Madman,MOVIE,2019,,124,7.2,44418
3124,The Paper Tigers,MOVIE,2020,PG-13,108,6.3,4144
3125,Pieces of a Woman,MOVIE,2020,R,127,7,47795
3126,Love on the Spectrum,SHOW,2019,TV-14,42,8.6,5210
3127,Code 8,MOVIE,2019,,99,6.1,38850
3128,Jiu Jitsu,MOVIE,2020,R,102,2.9,8502
3129,Bad Trip,MOVIE,2020,,87,6.5,23979
3130,Away,SHOW,2020,TV-14,50,6.6,23706
3131,The Wind,MOVIE,2019,R,86,5.5,8078
3132,The Pharmacist,SHOW,2020,TV-MA,54,7.7,6989
3133,Five Feet Apart,MOVIE,2019,PG-13,116,7.2,61878
3134,Ghost in the Shell: SAC_2045,SHOW,2020,TV-14,25,6.2,2020
3135,Murder Mystery,MOVIE,2019,PG-13,97,6,120532
3136,The Water Man,MOVIE,2020,PG,92,5.4,3641
3137,Rebecca,MOVIE,2020,PG-13,121,6,40447
3138,The Politician,SHOW,2019,TV-14,43,7.5,21887
3139,The Society,SHOW,2019,TV-MA,56,7,27693
3140,The Untamed,SHOW,2019,TV-14,44,8.8,5963
3141,Fyre,MOVIE,2019,,98,7.2,44715
3142,Fractured,MOVIE,2019,R,99,6.4,70860
3143,Da 5 Bloods,MOVIE,2020,R,156,6.5,50236
3144,Our Planet,SHOW,2019,TV-G,50,9.3,41386
3145,The Family,SHOW,2019,TV-14,26,6.4,3491
3146,The Spy,SHOW,2019,TV-MA,53,7.9,40535
3147,Daybreak,SHOW,2019,TV-MA,44,6.7,19398
3148,The Highwaymen,MOVIE,2019,R,132,6.9,88714
3149,The Disciple,MOVIE,2020,,128,7.1,2471
3150,Kiss the Ground,MOVIE,2020,,84,8.2,6607
3151,The Dirt,MOVIE,2019,R,108,6.9,47603
3152,Ava,MOVIE,2020,R,96,5.4,53131
3153,The Comey Rule,SHOW,2020,TV-MA,82,7.4,8598
3154,Merli: Dare to Know,SHOW,2019,TV-MA,48,7.6,1711
3155,Too Hot to Handle,SHOW,2020,TV-MA,42,4.6,12001
3156,The Night Clerk,MOVIE,2020,R,90,5.5,14600
3157,Ma Rainey's Black Bottom,MOVIE,2020,R,94,6.9,50275
3158,Ratched,SHOW,2020,TV-MA,54,7.2,52731
3159,Polar,MOVIE,2019,R,118,6.3,87080
3160,DC Super Hero Girls,SHOW,2019,TV-PG,10,7.2,1193
3161,"Yes, God, Yes",MOVIE,2020,R,78,6.1,14496
3162,The Prom,MOVIE,2020,PG-13,130,5.9,26197
3163,Dark Desire,SHOW,2020,TV-MA,34,6.5,7135
3164,Unsolved Mysteries,SHOW,2020,TV-MA,49,7.3,9391
3165,We Summon the Darkness,MOVIE,2020,R,91,5.2,10056
3166,Someone Great,MOVIE,2019,R,92,6.2,21501
3167,Tread,MOVIE,2020,,88,7.1,2861
3168,Radium Girls,MOVIE,2020,,102,6.2,1659
3169,Sweetheart,MOVIE,2019,PG-13,82,5.8,8074
3170,WHAT / IF,SHOW,2019,TV-MA,59,6.3,15135
3171,The Wrong Missy,MOVIE,2020,R,90,5.7,38647
3172,David Attenborough: A Life on Our Planet,MOVIE,2020,PG,83,9,31180
3173,Skylines,MOVIE,2020,R,113,4.7,7971
3174,The Laundromat,MOVIE,2019,R,96,6.3,49391
3175,It's Okay to Not Be Okay,SHOW,2020,TV-MA,76,8.6,21104
3176,Trinkets,SHOW,2019,TV-MA,26,7,10263
3177,Over the Moon,MOVIE,2020,PG,95,6.3,21562
3178,The Two Popes,MOVIE,2019,PG-13,125,7.6,120871
3179,Messiah,SHOW,2020,TV-MA,45,7.6,42018
3180,BEASTARS,SHOW,2019,TV-MA,23,7.7,9440
3181,Dorohedoro,SHOW,2020,TV-MA,24,8.1,7813
3182,Undercover,SHOW,2019,TV-MA,49,7.8,16773
3183,IO,MOVIE,2019,PG-13,96,4.7,33724
