index,title,type,release_year,age_certification,runtime,imdb_score,imdb_votes
252,My Little Pony: Friendship Is Magic,SHOW,2010,TV-Y7,22,7.6,20708
253,The Fairly OddParents,SHOW,2001,TV-Y7,24,7.2,38046
254,Jackass: The Movie,MOVIE,2002,R,88,6.6,92305
255,Sonic X,SHOW,2003,TV-Y7,21,6.1,4577
256,DEATH NOTE,SHOW,2006,TV-14,24,9,302147
257,Zoolander,MOVIE,2001,PG-13,90,6.5,260975
258,The Vampire Diaries,SHOW,2009,TV-14,42,7.7,310776
259,Charlie and the Chocolate Factory,MOVIE,2005,PG,106,6.6,465995
260,Cleaner,MOVIE,2007,R,88,6.1,41052
261,Harold & Kumar Go to White Castle,MOVIE,2004,R,88,7,193053
262,The Social Network,MOVIE,2010,PG-13,121,7.8,681286
263,Road to Perdition,MOVIE,2002,R,117,7.7,263212
264,Naruto,SHOW,2002,TV-PG,23,8.4,93980
265,Blow,MOVIE,2001,R,124,7.5,255099
266,Shooter,MOVIE,2007,R,124,7.2,329417
267,Big Fish,MOVIE,2003,PG-13,125,8,435503
268,The Bourne Ultimatum,MOVIE,2007,PG-13,115,8,627009
269,Public Enemies,MOVIE,2009,R,143,7,297525
270,America's Next Top Model,SHOW,2003,TV-14,44,5.6,17843
271,Sherlock Holmes,MOVIE,2009,PG-13,129,7.6,620154
272,Love Actually,MOVIE,2003,R,139,7.6,474176
273,Closer,MOVIE,2004,R,94,7.2,215678
274,Chappelle's Show,SHOW,2003,TV-14,21,8.8,62140
275,Something's Gotta Give,MOVIE,2003,PG-13,128,6.7,120400
276,Grown Ups,MOVIE,2010,PG-13,102,5.9,247229
277,The Blind Side,MOVIE,2009,PG-13,129,7.6,323939
278,Quantum of Solace,MOVIE,2008,PG-13,106,6.6,441023
279,The Ring,MOVIE,2002,PG-13,111,7.1,341888
280,Trailer Park Boys,SHOW,2001,TV-MA,25,8.6,41791
281,Into the Wild,MOVIE,2007,R,140,8.1,611379
282,True Grit,MOVIE,2010,PG-13,110,7.6,333378
283,Rambo,MOVIE,2008,R,92,7,228799
284,Stardust,MOVIE,2007,PG-13,122,7.6,269043
285,Borgen,SHOW,2010,TV-MA,58,8.5,23523
286,The Last Samurai,MOVIE,2003,R,154,7.8,429097
287,iCarly,SHOW,2007,TV-G,26,6.7,38281
288,Victorious,SHOW,2010,TV-G,25,6.9,24224
289,The Book of Eli,MOVIE,2010,R,118,6.8,312538
290,Identity,MOVIE,2003,R,90,7.3,240433
291,Merlin,SHOW,2008,TV-PG,44,7.9,80138
292,Shrek Forever After,MOVIE,2010,PG,93,6.3,200354
293,Hairspray,MOVIE,2007,PG,117,6.7,128190
294,Corpse Bride,MOVIE,2005,PG,77,7.3,265023
295,Let Me In,MOVIE,2010,R,116,7.1,120208
296,Monster,MOVIE,2003,R,110,7.3,149218
297,Without a Paddle,MOVIE,2004,PG-13,95,5.8,47049
298,Once Upon a Time in Mexico,MOVIE,2003,R,102,6.3,160449
299,Cloudy with a Chance of Meatballs,MOVIE,2009,PG,90,6.9,226225
300,Offspring,SHOW,2010,,44,8.3,4764
301,Blade II,MOVIE,2002,R,117,6.7,214461
302,Chloe,MOVIE,2009,R,99,6.3,72916
303,Blood Diamond,MOVIE,2006,R,143,8,536858
304,The Lake House,MOVIE,2006,PG,105,6.8,148043
305,Terminator 3: Rise of the Machines,MOVIE,2003,R,109,6.3,393998
306,Beerfest,MOVIE,2006,R,110,6.2,67748
307,Heist,MOVIE,2001,R,107,6.5,36361
308,Catch and Release,MOVIE,2006,PG-13,111,5.9,26157
309,Just Like Heaven,MOVIE,2005,PG-13,95,6.7,106755
310,Gurren Lagann,SHOW,2007,TV-14,24,8.3,17024
311,Four Brothers,MOVIE,2005,R,109,6.8,144656
312,John Q,MOVIE,2002,PG-13,116,7,131999
313,Not Another Teen Movie,MOVIE,2001,R,89,5.7,104604
314,21,MOVIE,2008,PG-13,123,6.8,247039
315,Code Geass: Lelouch of the Rebellion,SHOW,2006,TV-14,24,8.7,62367
316,Terminator Salvation,MOVIE,2009,PG-13,110,6.5,357557
317,Deck the Halls,MOVIE,2006,PG,93,5,27797
318,The Girl Next Door,MOVIE,2007,R,91,6.5,26035
319,The Cat in the Hat,MOVIE,2003,PG,81,4,81971
